permalink+accelerator,permalink,cohort_year,accelerator,founders
cue-2@y combinator,cue-2,2010,y combinator,Ayub Khattak
notice-software@y combinator,notice-software,2014,y combinator,"Burton Miller, Casey Haakenson, Tim Varner"
roost-6@500startups,roost-6,2015,500startups,"Aaron Blumenthal, Jonathan Gillon, Matt Tucker"
bagaveev-corporation@y combinator,bagaveev-corporation,2015,y combinator,Nadir Bagaveyev
bagaveev-corporation@BoostVC,bagaveev-corporation,2013,BoostVC,Nadir Bagaveyev
cognito-5ed4@y combinator,cognito-5ed4,2014,y combinator,"Alain Meier, Chris Morton, John Backus"
cognito-5ed4@BoostVC,cognito-5ed4,2014,BoostVC,"Alain Meier, Chris Morton, John Backus"
celery@BoostVC,celery,2015,BoostVC,"Brian Nguyen, Chris Tsai, Peter Shih"
celery@y combinator,celery,2012,y combinator,"Brian Nguyen, Chris Tsai, Peter Shih"
cellabus@ImagineK12,cellabus,2013,ImagineK12,"Albert Wang, Samujjal Purkayastha, Yorman Garcia"
cellabus@TheAlchemistAccelerator,cellabus,2014,TheAlchemistAccelerator,"Albert Wang, Samujjal Purkayastha, Yorman Garcia"
clear-genetics@TheAlchemistAccelerator,clear-genetics,2017,TheAlchemistAccelerator,"Guy Snir, Moran Shochat Snir, Prof. Mordechai (Motti) Shohat, MD"
clear-genetics@y combinator,clear-genetics,2017,y combinator,"Guy Snir, Moran Shochat Snir, Prof. Mordechai (Motti) Shohat, MD"
cloudastructure-inc@Highway1,cloudastructure-inc,2016,Highway1,"Glenn Forrester, Rick Bentley"
cloudastructure-inc@TheAlchemistAccelerator,cloudastructure-inc,2016,TheAlchemistAccelerator,"Glenn Forrester, Rick Bentley"
cobalt@TheAlchemistAccelerator,cobalt,2013,TheAlchemistAccelerator,"Christian Hansen, Esben Friis-Jensen, Jacob Hansen, Jakob Storm"
cobalt@BoostVC,cobalt,2013,BoostVC,"Christian Hansen, Esben Friis-Jensen, Jacob Hansen, Jakob Storm"
deepgram@y combinator,deepgram,2016,y combinator,"Noah Shutty, Scott Stephenson"
deepgram@BoostVC,deepgram,2015,BoostVC,"Noah Shutty, Scott Stephenson"
fountain@NFX,fountain,2015,NFX,"Jeremy Cai, Keith Ryu"
fountain@y combinator,fountain,2015,y combinator,"Jeremy Cai, Keith Ryu"
honeybook@UpwestLabs,honeybook,2012,UpwestLabs,"Dror Shimoni, Naama Alon, Oz Alon, Shadiah Sigala"
honeybook@NFX,honeybook,2015,NFX,"Dror Shimoni, Naama Alon, Oz Alon, Shadiah Sigala"
leada@ImagineK12,leada,2014,ImagineK12,Brian Liou
leada@y combinator,leada,2015,y combinator,Brian Liou
lendsnap-inc@TheAlchemistAccelerator,lendsnap-inc,2016,TheAlchemistAccelerator,"Mike Romano, Orion Parrott"
lendsnap-inc@y combinator,lendsnap-inc,2016,y combinator,"Mike Romano, Orion Parrott"
