name,permalink
"Brunsdon Law Firm, LLC",brunsdon-law-firm-llc
Segmint,segmint
Amplifinity,amplifinity
Epsilon Imaging,epsilon-imaging
HathiTrust,hathitrust
NewswireLaw.com,newswirelaw-com
OcuSciences,ocusciences
U-M Center for Entrepreneurship,u-m-center-for-entrepreneurship
AdAdapted,adadapted
FridgeNality,fridgenality
Kontextual,kontextual
Larky,larky
Michigan Hackers,michigan-hackers
myfab5,myfab5
NeuMoDx Molecular,neumodx-molecular
NewFoundry,newfoundry
PHASIQ,phasiq
Real Time Farms,real-time-farms
Sakai,sakai
Showcase,showcase-2
SkySpecs,skyspecs
TowerSec,towersec
BizeeBox,bizeebox
Covaron Advanced Materials,covaron-advanced-materials
Cubeworks,cubeworks
Equarius Risk Analytics LLC,equarius-risk-analytics-llc
HT Mobile Apps,ht-mobile-apps
Matterhorn,court-innovations
Skipstone,skipstone-2
"Trove, Inc.",notion-ai
Broke App,broke-app
Cahoots,cahoots-190e
Clinc,clinc-3
Extraordinary Things,extraordinary-things
HiveLend,hivelend
Impellia,impellia
Intelligent Exercise Systems,intelligent-exercise-systems
Kulisha,kulisha-fbb9
MOXYTECH,moxytech
New Vital Signs,new-vital-signs
Saturnup,saturnup
Strata Oncology,strata-oncology
Totem,totem-4
"TrueJob, Inc.",truejob-inc
Workit Health,workit-health
Zomedica,zomedica
Bamboo Commerce,bamboo-commerce
Circadian Risk Inc.,circadian-risk-inc
"Every Two Minutes, PBC.",every-two-minutes
Find Your Ditto,find-your-ditto
Gaudium,gaudium-inc
Groundspeed Analytics,groundspeed-analytics
Gwydion,gwydion
Parabricks,parabricks
Parrable,parrable
Ripple Science,ripple-science
RXA,rxa
ShapeLog,shapelog-2
"Sniffer Robotics, LLC",sniffer-robotics-llc
SpellBound,magicbook
TechStak,techstak
Anoloriya,anoloriya
Appscalar,appscalar
"Atoma Technologies, LLC",atoma-technologies-llc
Bedestrian,bedestrian
"Collective Scientific, LLC",collective-scientific-llc
Connect Space,connect-space
First Building Solutions,first-building-solutions
Flugauto,flugauto
FreightRoll,freightroll
Give and Take,give-and-take
Give and Take,give-and-take
Jottful,jottful
Kho Labs,kho-labs
pocketnest,pocketnest
Refraction AI,refraction-ai
Structure,structure
XiWATT,xiwatt
*gram Labs,gram-labs
BitVoyant,bitvoyant
ChurnZero,churnzero
ExecVision,execvision
EYL,eyl
iDEA WONKs,idea-wonks
Koios,koios
"Notice Enterprises, Inc.",notice-technologies-llc
NUI Media,nui-media
Paykii,paykii
ShiftOne,momentsnap
Student Opportunity Center,student-opportunity-center
UNOMICEDGE,eunomic
Vemo Education,vemo-education
Yellowstone,yellowstone
BluVector Inc.,bluvector
DXC Technology,dxc-technology
Faculty Guild,faculty-guild
Fotomo,fotomo
Grey Market Labs,grey-market-labs
Higher Digital,higher-digital
Lovelytics,lovelytics
Parvenu Fundraising Inc.,parvenu-fundraising-inc
Reyets,reyets
SCYTHE,scythe
Stori Card,powerup-technology
Unstuck Labs,stuck-in-the-sand-llc
Visajump,visajump
Aretech,aretech
InviteShare,inviteshare
4th & Swift,4th-swift
Attain Med,attain-med
Autonomous Fusion,wheego-electric-cars
Azalea Health,azalea-health
BlueFletch,bluefletch
Cardlytics,cardlytics
Clash Graphics,clash-graphics
Company.com,company-com-cddd
Configero,configero
Creative Circle,creative-circle
Endavo Media and Communications,endavo-media-and-communications
ExamWorks,examworks
FormFree,formfree
Free All Media,free-all-media
H&F Bread Co.,h-f-bread-co
Half Off Depot,half-off-depot
"Jack Arthur, Inc.",jack-arthur-inc
Lena Biosciences,lena-biosciences
LitFire Publishing,litfire-publishing
Moblication,moblication
"nCrowd, Inc.",ncrowd-inc
ParkMobile,parkmobile
Protect Your Bubble,protect-your-bubble
ProviDyn,providyn
Reflex Systems Inc,reflex-systems-inc
Renovo Research,renovo-research
RentAdvisor,rentadvisor
Rubicon Global,rubicon-global
SEI Group,sei-group
Shadow-Soft,shadow-soft
Sovartis,sovartis
Strongbox West,strongbox-west
Sweet Peach Wax & Sugaring Studio,sweet-peach-wax-sugaring-studio
T5 Data Centers,t5-data-centers
United Athletes Foundation,united-athletes-foundation
Vert Digital,vert-digital
Zensi,zensi
AchieveIt,achieveit-online
Advanced Care Pediatrics,advanced-care-pediatrics
AlgoValue,algovalue
Applied Resource Group,applied-resource-group
Atlanta Samsung,atlanta-samsung
Beatlab,beatlab-9e9b
ChemoCore Therapeutics,chemocore-therapeutics
Claz.org,claz
ClickDimensions,clickdimensions
"Clinigence, LLC.",clinigence--llc-
CN2,cn2
Community & Southern Bank,community-southern-bank
Competitive Sports Analysis,competitive-sports-analysis
Content Science,content-science
Decooda,decooda
DigitalStakeout,digitalstakeout
EngagedMedia,engagedmedia
ExpandLab,expandlab
Fortiva Financial,fortiva
Frozen Pints,frozen-pints
GalliumGroup,galliumgroup
Geave,geave
"GENETRIX SOCIETY, INC",genetrix-society-inc
Geophia LLC,geophia-llc
Global Franchise Group,global-franchise-group
Health Care Compliance Advisors,health-care-compliance-advisors
"HRW Music Group, LLC.",cinderella-factory-llc
Incite Directives,incite-directives
Katapult Group,katapult-group
KPMG Advisory,kpmgadvisory
LocalDipity,localdipity
MessageGears,messagegears
Metaclipse Therapeutics,metaclipse-therapeutics
Mobile Fuel,mobile-fuel
MOVL,movl
My Egg Bank North America,my-egg-bank-north-america
New Example Internet Marketing,new-example-internet-marketing
Oncovaxine,oncovaxine
One Cent Solution,one-cent-solution
Panda Silk,pandasilk
Passio Technologies,passio-technologies
Phobio,phobio
PlacePunch,placepunch
re:imagine ATL,re-imagine-atl
Regulated Capital Consultants,regulated-capital-consultants-atlanta-georgia
RESICAP,residential-capital-management
ResiPro,ameritrust
Rigor,rigor
Sanergy,sanergy
Scoutmob,scoutmob
Sharecare,sharecare
ShootProof,shootproof
Shoplio,shoplio
SimplePart,simplepart
Sionic Mobile,sionic-mobile
Soneter,soneter
Songtweak,songtweak
Souto Foods,souto-foods
Spectropath,spectropath
Sri Laxmi Kravia,sri-laxmi-kravia
StarPound Technologies,starpound-technologies
"The Koval Firm, LLC",the-koval-firm-llc
The RMN Agency,the-rmn-agency
TinyLetter,tinyletter
Urjanet,urjanet
VisitorLeads,visitorleads
Wilson Parker Homes,wilson-parker-homes
Audition Rush,audition-rush
BangBang Mobile,bangbang-mobile
Bento Box Entertainment,bento-box-entertainment
Bioscape Digital,bioscape-digital-2
Branded Bridge Line,branded-bridge-line
Campus Bubble,campus-bubble
CareHR,carehr
Clickagy,clickagy
Colluide,colluide
Cozmik Body,cozmik-body
Daily Deal Superstore,daily-deal-superstore
DailyDrill,dailydrill
Dandus Media,dandus-media
Decision Street,decision-street
DJ Courses Online,dj-courses-online
DocVentive,docventive
Domino Solutions,domino-solutions
Emory Entrepreneurship & Venture Management,emory-entrepreneurship-venture-management
Everyday Industries,everyday-industries
Fit with Friends,fit-with-friends
Flashissue,flashissue
FortÃ© Ventures,forte-ventures
FoundMoney,found-money
GA Infotech,ga-infotech
GameSkinny,gameskinny
Geocoda,geocoda
GiFTgive,giftgive
Hellerstein Consulting,hellerstein-consulting
Homebase.io,homebase-io
IWP Web Designers,kris-k
Keel Funds,keel-funds
Kevstel Group,kevstel-group
Konnecti.com,konnecti-com
Last Call Media Group,lastcallatl
Launch Valley,launch-valley
LucanDOCS,lucandocs
Monsieur,monsieur
MPG Deals,mpg-deals
Nine Labs,nine-labs
Orion Technology Services,orion-technology-services
Pavo,pavo
Plisten,plisten
PlusSizeSavvyMom,plussizesavvymom
Polar Notion,polar-notion
Ponton Law,ponton-law
Pretty in my Pocket (PRIMP),pretty-in-my-pocket-primp
QiKfunder,qikfunder
Skye Energy,skye-energy
SmartPM Technologies,smartpm-technologies
SnapHop,snaphop
Social Yuppies,social-yuppies
SoClick,soclick
SpendHQ,spendhq
Stratos Management Systems,stratos-management-systems
Stroho,stroho
"TargetProof, LLC",targetproof-llc
TaskLab,tasklab
Think Upgrade,think-upgrade-llc
TRAINlete,trainlete
Trustable inc,trustable-inc
Umenta,umenta
Vidtok,vidtok
Visual Art Werks,visual-art-werks
Wasabi Productions,wasabi-productions
Web Marketing 411,web-marketing-411
WOWash,wowash
Yaamo,yaamo
Yalo,yalo
Abby Med,abby-med
ABMS Solutions,abms-solutions
Accushield,accushield
ADAPTURE,adapture
"Altavi, Inc.",altavi-inc
Amblyotech,amblyotech
AnswerRocket,answerrocket
AppPax,apppax
ATOMIZED,atomized
Bacon's Heir,bacon-s-heir
Better Walk,better-walk
Borrowed by Design,borrowed-by-design
Calendly,calendly
Cambium Medical Technologies,cambium-medical-technologies
Candid Partners,candid-partners
CardioScout,cardioscout
CIYIS,ciyis
Clockwise.MD,clockwise-md
Commercial Property Tax Professionals,commercial-property-tax-professionals
ComputerTrainingsOnline,computertrainingsonline
CrowdVested,crowdvested
Decibel Network,decibel-network
Elev8 Hire Solutions,elev8-hire-solutions
Engage.cx,engage-cx
"Firstly, Inc.",firstly-inc
Flasr,flasr
FM Dashboard,fm-dashboard
FotoIN Mobile Corporation,fotoin-mobile
Fusionetics,fusionetics
Gather Technologies,gather-technologies
Gozio Health,gozio
Green Team Energy Services,green-team-energy-services
GXG,gxg
"HipScience, LLC",hipscience-llc
HostedMining.com,coinfirma
Hull,hull
JustinJail Inc.,justinjail
Kanga Technology,kanga
Keystroke Creative,keystroke-creative
KidsLink,kidslink
Kredible,kredible
LEAH Software,leah-software-2
LightFreq,lightfreq
Linkquidator,linkquidator
LovetapÂ®,lovetap-llc
MaaSive,maasive
MEDOVEX,medovex
Million Dollar Scholar,million-dollar-scholar
MixP3 Corporation,mixp3-inc
Musicjehad.com,musicjehad-com
Myavana,myavana
MyLifePlace,mylifeplace
Nexus Marketing,helperful
NFANT Labs,nfant-labs-2
nGage Intelligence,ngage-intelligence
Niche Video Media LLC,niche-video-media-llc
NoExam.com,noexam-com
Nuracode,nuracode
Partpic,partpic
Patent Trade Corp,patent-trade-corp
Patriot Finance,patriot-finance
"PDS Solutions, LLC",pds-solutions-llc
PeachDish,peachdish
Pikastar.com,pikastar-com
Predikto,predikto
pressgram,pressgram
Red Tree Labs,red-tree-labs
ReferMe IQ,fipath4advisors
REscour,rescour
ReST,rest-2
RiverMend Health,rivermend-health
Safely,safelystay
SEMADevelopment,semadevelopment
SHOFUR,shofur
Shop Nami,shop-nami
Sibling Technologies,sibling-technologies
SingleOps,singleops-llc
SmallBizClub,smallbizclub
Sock Fancy,sock-fancy
SONAR,sonar-by-piedata
Sound Cord,sound-cord
Southern Proper Hospitality,southern-proper-hospitality
Split,split-3
SterlingFunder,sterlingfunder
Summit Behavioral Healthcare,summit-behavioral-healthcare
Synappio,synappio
THUMBZZ,thumbzz
"TradeRocket, Inc.",traderocket-inc
Tralongo,tralongo
Truck IT,truck-it-app
truGround Environmental,truground-environmental
Unscrambl,unscrambl
VehWare,vehware
Vertera Spine,vertera-spine
Voxa,voxa
WideAngle Software,rivalry
Xquva,xquva
ZYCI CNC Machining,zyci-cnc-machining
86Borders,86borders
AdeptPAY,adeptpay
Amplify 4 Good,amplify-4-good
Applicant Starter,applicant-starter
"Apps that Pay, LLC",apps-that-pay-llc
Appzoro Technologies Inc,appzoro-technologies-inc
Arbiter Digital,arbiter-digital
Asbury Apothecary,asbury-apothecary
"Automotive Ventures, LLC",automotive-ventures-llc
Beech Valley Solutions,beech-valley-solutions
Berchard's Fine Living,berchard-s-fine-living
BI Brainz,bi-brainz
BrightLane.com,brightlane-com
brrrÂ°,brrr
Budda Box,burnbox
Cappio,cappio
Card for Coin,card-for-coin-2
"CarLingo, LLC",carlingo-llc
CentralBOS,centralbos
Cobbler Union,cobbler-union
Coder Manual,coder-manual
Compliance PT,compliance-pt
Concrete Starts,concrete-starts
Cox Media Group,cox-media-group
Credit Union Travel Club,credit-union-travel-club
Cypress.io,cypress-io
DataClover,dataclover
Davis Medical Holdings,davis-medical-holdings
DC BLOX,dcblox-inc
DoubleNet Pay,doublenet-pay
DoubleYourVelocity.com,algorythmic
Emelody Worldwide,emelody-worldwide
Emergo Health Inc,emergo-health-inc
Emrgy,emrgy
"Event Tent, LLC",event-tent-llc
Evntr,amo-app
EVOQ,evoq
ExceptionALLY,exceptionally
Faretrotter,faretrotter
FI Navigator,fi-navigator
First Performance Global,first-performance-corporation
FitMetrix,fitmetrix
fitRaise,fitraise
Fittery,fittery
FIXD,fixd
Flexdrive,flexdrive
Florence Healthcare,florence-heathcare
FlyWorx - Aerial Drone Services,flyworx-aerial-drone-services
Futurus LLC,futurus-llc
Gasky,gasky
GiiG,giig-2
Gimme,gimmevend
gottaGolf,gottagolf
Greenlight Financial Technology,greenlight-4
GreenPrint,greenprint
Happymart LLC,happymart-llc
Haste,haste
Hudson Laboratories,hudson-laboratories
Hux,hux
iCareNote,icarenote
Indigoz,indigoz
"Insight Optics, Inc.",insight-optics-inc
"Insight Optics, Inc.",insight-optics-inc
IntelliPhi,intelliphi
Intent Solutions,intent-solutions
InternetSafety.com,internetsafetycom
Intrepy Healthcare Marketing,intrepy
Itential,itential
Ivoke,ivoke
Justice Network,justice-network
Kehoots,kehoots
KodeQ,kodeq-software-development
Kyckster,kyckster
LD Studios,ld-studios
Lead Focus Web,lead-focus-web
LSavoir,lsavoir
Luma,luma-2
LuXuper,luxuper
Manager,manager
Mashamba,mashamba
MateDetector.com,matedetector-com
MedZed,medzed
Melini,melini
mobile STIR,mobile-stir
Narwhal Digital,narwhal-digital
Nova Workstation,nova-workstation
Orchard,3dorchard
Parent Co.,parent-co-
"Pathway Technologies, Inc.",zenergyst
PLENTY,plenty
Poetry Inspired,poetry-lobby
Pointivo,pointivo
Posh Pet Box,posh-pet-box
Pragmatik IO Group,pragmatik-io-solutions
Private Label Extensions,private-label-extensions
ProCARE Portal LLC,procare-portal
Profound Studio,profound-studio
Pximity,pximity
QUEEN APPARELÂ®,queen-apparel-atlanta
Rekure,rekure
Rentalla,rentalla
RenterUp,renterup
RRB Development,rrb-development
SalesWise,saleswise
Sarvint Technologies,sarvint-technologies
ScrubPay,scrubpay
Senoia Systems,senoia-systems
Sequr,sequr
Sereneti Kitchen,sereneti
SiteWhere,sitewhere-llc
SkateMateCase,skatematecase
Stackfolio,stackfolio
StartBox,startbox
STEM STARS,s-t-e-m-stars
Storj Labs,storj
Sudu,sudu
Surterra Wellness,surterra-holdings-inc
Swift Frontiers Corp,swift-frontiers-corp
SwipeLoyalty,swipeloyalty
Terminus,terminus-software
The Cultured Chic,the-cultured-chic
The Gathering Spot,the-gathering-spot
ThePartyMatch,thepartymatch
ThingTech,thingtech
Thought Logic Consulting,thought-logic-consulting
ThreadKM,threadkm
Top Scholar Co,top-scholar-co
Top Scholar Co,top-scholar-co
TripStreak,tripstreak
UserIQ,useriq
Viabl,viabl
Volantio,volantio-inc
WEARVR,wearvr
Web Beta IT Solutions,web-beta-it-solutions
WebClues Global,webclues-global
WebSoCast,websocast
"WonUpIt, Inc.",wonupit--inc-
XciteGO,xcitego
X-Ecos,x-ecos
Zegg,zegg
ZingBox,zingbox-2
1UPd,1upd
3MP Atlanta,3mp-atlanta
A La Carte Assistant,a-la-carte-assistant
Aces Health,aces-health
Alum,alum
ASAPP,asapp-3
Atticus Now,atticus-now
Authomate,authomate
Bark Technologies,bark-technologies
BE LUX,be-lux
Billion or Bust Media,billion-or-bust-media
Bluhook,bluhook-marketing
BOLD ELEGANCE Inc,bold-elegance-inc
Brytecore,brytecore
BuffBoxx,buffboxx
