name,permalink,perfect_match,schools,school_subjects,job_titles,founded_on,location,undisclosed_amount,fund 0,categories,fund 1,fund 2,fund 3,fund 4,fund 5,fund 6,fund 7,fund 8,fund 9,fund 10,fund 11,fund 12,fund 13,fund 14,fund 15,fund 16,fund 17,fund 18,fund 19,fund 20,fund 21,fund 22,fund 23,fund 24,fund 25,num_fund_rounds
"Brunsdon Law Firm, LLC",brunsdon-law-firm-llc,no,,,,2007,"Akron, Ohio",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Segmint,segmint,no,kent-state-university,Information Technology,"Co-Founder & Board Member, Founder & President",2007,"Cuyahoga Falls, Ohio",no,2014:12008400,"Analytics, Banking, Financial Services, FinTech, Marketing Automation, Predictive Analytics",2014:9000000,2014:2540000,2013:3295000,2011:2673977,,,,,,,,,,,,,,,,,,,,,,5
Amplifinity,amplifinity,no,university-of-michigan,"College of Literature, Science and the Arts",Co-Founder & Chief Advocacy Officer,2008,"Ann Arbor, Michigan",no,2015:2489114,"Brand Marketing, Enterprise Software, Lead Generation, Marketing Automation, SaaS, Software",2014:7000000,2011:3600000,2010:2500000,,,,,,,,,,,,,,,,,,,,,,,4
Epsilon Imaging,epsilon-imaging,no,,,,2008,"Ann Arbor, Michigan",no,2015:153529,"Analytics, Medical, Medical Device",2013:4000000,2013:1465750,2011:1465000,2009:1222600,,,,,,,,,,,,,,,,,,,,,,5
HathiTrust,hathitrust,no,,,,2008,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NewswireLaw.com,newswirelaw-com,no,,,,2008,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OcuSciences,ocusciences,no,,,Founder,2008,"Ann Arbor, Michigan",no,2009:900000,"Biotechnology, Health Care, Health Diagnostics, Medical Device",,,,,,,,,,,,,,,,,,,,,,,,,,1
U-M Center for Entrepreneurship,u-m-center-for-entrepreneurship,no,,,,2008,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AdAdapted,adadapted,no,tulane-university,"English, Creative Writing",Founder & Chief Revenue Officer,2012,"Ann Arbor, Michigan",no,2020:3927353,"Advertising, Brand Marketing, Digital Media, Software",2018:250000,2015:460000,2014:400000,2014:325000,,,,,,,,,,,,,,,,,,,,,,5
FridgeNality,fridgenality,no,,,"Founder, Director of Data Integration, Director and Global Trends Strategist",2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kontextual,kontextual,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Larky,larky,no,,,"Co-Founder, Advisor",2012,"Ann Arbor, Michigan",no,2014:1760000,"Financial Services, Location Based Services, Loyalty Programs, Mobile",2012:650000,,,,,,,,,,,,,,,,,,,,,,,,,2
Michigan Hackers,michigan-hackers,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BestFoodFeed,myfab5,no,university-of-michigan-ross-school-of-business,Business Administration,"Co-Founder, CEO, Business Analyst",2012,"Ann Arbor, Michigan",no,2014:75000,"Hospitality, Local Advertising, Restaurants, Social Media, Software",2013:50000,2012:17500,,,,,,,,,,,,,,,,,,,,,,,,3
NeuMoDx Molecular,neumodx-molecular,no,"university-of-michigan, alma-college-alma","unknown, Biology","President and CEO, Team Member, CEO and Chairman of the Board, President and CEO, President and CEO, Chairman & CEO",2012,"Ann Arbor, Michigan",no,2018:20039942,"Biotechnology, Health Care, Health Diagnostics, Medical",2016:19999995,2014:21000000,2012:5000000,,,,,,,,,,,,,,,,,,,,,,,4
NewFoundry,newfoundry,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PHASIQ,phasiq,no,,,"UM Inventor, founder and CSO, Adjunct Professor",2012,"Ann Arbor, Michigan",yes,0,"Health Care, Medical",,,,,,,,,,,,,,,,,,,,,,,,,,1
Real Time Farms,real-time-farms,no,,,"Co-founder, Senior Software Engineer",2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sakai,sakai,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Showcase,showcase-2,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
